product_id,product_name,aisle_id,department_id,price
906,Product 0,2,1,27.70541928656686
367,Product 1,1,3,59.91050898518212
983,Product 2,7,4,73.96182831607183
242,Product 3,1,2,40.55730901810627
566,Product 4,8,2,78.92432100633646
854,Product 5,5,1,84.68768952152284
763,Product 6,9,3,50.79312719542538
650,Product 7,7,3,47.10152157912795
617,Product 8,2,3,4.415191427512733
841,Product 9,4,3,92.24544943461713
534,Product 10,2,2,76.45126473082323
717,Product 11,7,4,99.38945121431364
466,Product 12,5,4,30.43073762214783
843,Product 13,4,2,24.326282267496325
525,Product 14,1,3,95.04875421892149
899,Product 15,6,1,55.712997974048704
278,Product 16,9,3,48.78997394582595
713,Product 17,4,4,84.92658075235737
364,Product 18,2,1,13.368957299001671
360,Product 19,3,2,88.27004002555651
282,Product 20,9,1,15.041281107965876
341,Product 21,3,4,4.209331663187344
459,Product 22,4,2,49.93951755471744
996,Product 23,2,4,6.782086959503541
397,Product 24,7,4,70.3086600423371
318,Product 25,6,1,11.846450601278558
267,Product 26,1,1,70.39936332183602
275,Product 27,8,2,34.71850985291866
605,Product 28,3,2,10.636830465842795
623,Product 29,8,3,87.71197156786188
685,Product 30,5,1,7.683948753439029
428,Product 31,7,1,0.8858791782498376
805,Product 32,7,3,55.948955189237026
320,Product 33,6,4,35.97902794014084
809,Product 34,6,1,45.96506539378308
405,Product 35,8,1,26.59293971691955
63,Product 36,4,4,89.03669296866364
628,Product 37,7,3,50.255072576093106
490,Product 38,4,3,54.302698356703026
408,Product 39,7,4,10.189336443894915
305,Product 40,3,2,95.28692454624662
56,Product 41,5,2,29.4464978904727
381,Product 42,8,2,30.8499028977283
891,Product 43,8,2,41.0944307746986
638,Product 44,1,1,2.3052587358888488
966,Product 45,8,3,99.5859648898502
980,Product 46,3,4,21.317663555622946
649,Product 47,8,4,93.56211420234023
718,Product 48,6,2,63.15420164831353
24,Product 49,5,3,21.71879340691071
205,Product 50,4,3,94.0122706398883
316,Product 51,5,2,7.524460629883278
484,Product 52,4,1,8.81862789895379
430,Product 53,3,4,98.2394647459541
29,Product 54,9,3,25.768547266350073
84,Product 55,6,2,56.17517258442989
36,Product 56,4,2,16.4602513643917
775,Product 57,4,2,10.966841774060864
376,Product 58,1,4,10.230869696559875
266,Product 59,4,1,64.82925828509067
174,Product 60,9,2,70.50282333275662
124,Product 61,5,2,68.55951728052312
764,Product 62,7,2,59.76738109257992
376,Product 63,6,4,64.96617615773003
857,Product 64,4,2,21.756975427895565
27,Product 65,7,1,55.60955089905249
270,Product 66,3,1,97.07904917819623
84,Product 67,1,3,57.73495758201117
706,Product 68,5,1,62.411158373922824
17,Product 69,9,1,54.91563451333696
434,Product 70,2,3,40.34916305512202
58,Product 71,2,3,16.20288342703411
104,Product 72,6,2,14.392070091500365
159,Product 73,1,1,92.52931452251407
626,Product 74,1,3,56.09885740760544
256,Product 75,8,4,12.440727496176363
25,Product 76,6,2,67.43386817764807
320,Product 77,3,3,86.64142904296853
956,Product 78,1,4,80.99276746591656
753,Product 79,2,1,26.49815827830675
996,Product 80,8,4,98.45273543804876
152,Product 81,5,4,20.517165325769547
246,Product 82,3,2,49.23228713172894
124,Product 83,1,4,28.25291849142495
627,Product 84,5,1,76.37348346148809
792,Product 85,9,1,43.88998044040229
102,Product 86,6,1,84.2622344967582
329,Product 87,4,4,65.27996371262932
608,Product 88,2,4,44.54289757834281
10,Product 89,9,2,50.92965857368185
303,Product 90,9,1,30.985105244826816
743,Product 91,8,1,58.369549932409335
174,Product 92,8,2,59.82272777045403
416,Product 93,1,4,80.6794071499618
936,Product 94,5,4,87.40766206667877
147,Product 95,7,4,9.536277358154809
181,Product 96,9,4,17.387338055218372
489,Product 97,3,2,74.16321465089638
540,Product 98,2,1,87.56651310814327
107,Product 99,4,1,89.17295726014932
